timepoint,condition,conc,rep,cells,ln_cells
16,TP53R248Q_MYC,0,1,4070.667617,8.311562299
24,TP53R248Q_MYC,0,1,7420.406349,8.911989099
48,TP53R248Q_MYC,0,1,6465.689895,8.774264998
72,TP53R248Q_MYC,0,1,7577.155154,8.932893099
96,TP53R248Q_MYC,0,1,7291.533479,8.894469157
20,TP53R248Q_MYC,0,2,5738.131917,8.654888986
24,TP53R248Q_MYC,0,2,6657.002157,8.803424536
48,TP53R248Q_MYC,0,2,7425.347647,8.912654784
72,TP53R248Q_MYC,0,2,8411.783327,9.037388779
96,TP53R248Q_MYC,0,2,12785.04188,9.456031163
0,TP53R248Q_MYC,0,3,8150.179094,9.005795181
24,TP53R248Q_MYC,0,3,13419.12852,9.50443647
48,TP53R248Q_MYC,0,3,11066.79073,9.311704077
72,TP53R248Q_MYC,0,3,9976.522017,9.207989813
0,TP53R248Q_MYC,0,3,8148.576021,9.00559847
96,TP53R248Q_MYC,0,3,8135.874667,9.004038533
0,TP53R248Q_MYC,0,4,5583.524388,8.627575467
24,TP53R248Q_MYC,0,4,9159.6775,9.12256625
48,TP53R248Q_MYC,0,4,,
72,TP53R248Q_MYC,0,4,10758.97909,9.283495949
96,TP53R248Q_MYC,0,4,8895.028348,9.093247787
16,TP53R248Q_MYC,80,1,4589.0509,8.431428506
24,TP53R248Q_MYC,80,1,7485.546789,8.920729345
48,TP53R248Q_MYC,80,1,8480.145904,9.045482934
72,TP53R248Q_MYC,80,1,8512.996713,9.0493493
96,TP53R248Q_MYC,80,1,8592.560692,9.058652072
20,TP53R248Q_MYC,80,2,6231.824398,8.73742441
24,TP53R248Q_MYC,80,2,5937.090213,8.688974429
48,TP53R248Q_MYC,80,2,8521.301267,9.050324339
72,TP53R248Q_MYC,80,2,8699.897177,9.071066486
96,TP53R248Q_MYC,80,2,13061.03897,9.477388954
0,TP53R248Q_MYC,80,3,8109.013139,9.000731455
24,TP53R248Q_MYC,80,3,12878.19481,9.463290835
48,TP53R248Q_MYC,80,3,12906.07157,9.465453144
72,TP53R248Q_MYC,80,3,14234.56218,9.563428243
0,TP53R248Q_MYC,80,3,8228.657546,9.015378163
96,TP53R248Q_MYC,80,3,11511.20338,9.351076047
0,TP53R248Q_MYC,80,4,5754.163822,8.657679015
24,TP53R248Q_MYC,80,4,9096.359163,9.11562952
48,TP53R248Q_MYC,80,4,9905.049736,9.20079998
72,TP53R248Q_MYC,80,4,12435.06135,9.42827529
96,TP53R248Q_MYC,80,4,11036.87656,9.308997359
16,TP53R248Q_MYC,160,1,5739.624557,8.655149079
24,TP53R248Q_MYC,160,1,7598.875089,8.935755501
48,TP53R248Q_MYC,160,1,9003.574539,9.105376948
72,TP53R248Q_MYC,160,1,10417.92626,9.251283281
96,TP53R248Q_MYC,160,1,12196.36688,9.40889339
20,TP53R248Q_MYC,160,2,5710.586654,8.650077039
24,TP53R248Q_MYC,160,2,5591.687463,8.629036392
48,TP53R248Q_MYC,160,2,8149.086084,9.005661063
72,TP53R248Q_MYC,160,2,10878.53326,9.294546701
96,TP53R248Q_MYC,160,2,17358.04677,9.761811469
0,TP53R248Q_MYC,160,3,8082.72375,8.997484193
24,TP53R248Q_MYC,160,3,12625.59077,9.443481046
48,TP53R248Q_MYC,160,3,14311.76768,9.568837392
72,TP53R248Q_MYC,160,3,15563.61518,9.652691109
0,TP53R248Q_MYC,160,3,7919.968226,8.977142473
96,TP53R248Q_MYC,160,3,12775.47545,9.455282632
0,TP53R248Q_MYC,160,4,5921.900899,8.686412774
24,TP53R248Q_MYC,160,4,9656.116277,9.175346805
48,TP53R248Q_MYC,160,4,11416.2012,9.342788784
72,TP53R248Q_MYC,160,4,15673.61164,9.65973379
96,TP53R248Q_MYC,160,4,14623.38783,9.590377432
16,TP53R248Q_MYC,1000,1,5952.343493,8.691540285
24,TP53R248Q_MYC,1000,1,8114.401298,9.0013957
48,TP53R248Q_MYC,1000,1,11231.88177,9.3265116
72,TP53R248Q_MYC,1000,1,15254.3493,9.632619942
96,TP53R248Q_MYC,1000,1,15685.77518,9.660509541
20,TP53R248Q_MYC,1000,2,5564.530342,8.624167865
24,TP53R248Q_MYC,1000,2,6061.781262,8.709758973
48,TP53R248Q_MYC,1000,2,9453.817198,9.154173875
72,TP53R248Q_MYC,1000,2,12755.48493,9.453716648
96,TP53R248Q_MYC,1000,2,17820.67809,9.788114752
0,TP53R248Q_MYC,1000,3,7945.882016,8.980409088
24,TP53R248Q_MYC,1000,3,11308.84608,9.333340537
48,TP53R248Q_MYC,1000,3,17131.80131,9.748691741
72,TP53R248Q_MYC,1000,3,17254.75071,9.755842788
0,TP53R248Q_MYC,1000,3,7818.668735,8.964269581
96,TP53R248Q_MYC,1000,3,13136.83745,9.483175582
0,TP53R248Q_MYC,1000,4,5753.279354,8.657525294
24,TP53R248Q_MYC,1000,4,10207.2908,9.230857528
48,TP53R248Q_MYC,1000,4,14204.71812,9.56132945
72,TP53R248Q_MYC,1000,4,21664.19604,9.983416225
96,TP53R248Q_MYC,1000,4,18317.86111,9.81563188
16,TP53R175H_MYC,0,1,6182.236043,8.729435304
24,TP53R175H_MYC,0,1,7616.940578,8.938130069
48,TP53R175H_MYC,0,1,7422.906843,8.912326017
72,TP53R175H_MYC,0,1,7328.890523,8.899579422
96,TP53R175H_MYC,0,1,6919.640195,8.842119052
20,TP53R175H_MYC,0,2,5660.084943,8.641194179
24,TP53R175H_MYC,0,2,5772.076098,8.660787104
48,TP53R175H_MYC,0,2,7731.919583,8.95311244
72,TP53R175H_MYC,0,2,7779.258654,8.959216324
96,TP53R175H_MYC,0,2,11915.85552,9.385625189
0,TP53R175H_MYC,0,3,7023.982545,8.85708565
24,TP53R175H_MYC,0,3,12507.82279,9.434109551
48,TP53R175H_MYC,0,3,10327.09575,9.242526375
72,TP53R175H_MYC,0,3,9187.661313,9.125616701
0,TP53R175H_MYC,0,3,6157.831456,8.725479958
96,TP53R175H_MYC,0,3,8152.717396,9.006106574
0,TP53R175H_MYC,0,4,6423.75639,8.767758333
24,TP53R175H_MYC,0,4,10261.33726,9.236138447
48,TP53R175H_MYC,0,4,9720.453003,9.181987502
72,TP53R175H_MYC,0,4,12436.02291,9.428352614
96,TP53R175H_MYC,0,4,11142.14343,9.318489904
16,TP53R175H_MYC,80,1,5546.814203,8.620979024
24,TP53R175H_MYC,80,1,7059.052113,8.86206606
48,TP53R175H_MYC,80,1,8709.703532,9.072193032
72,TP53R175H_MYC,80,1,8697.491883,9.070789974
96,TP53R175H_MYC,80,1,8936.215335,9.097867438
20,TP53R175H_MYC,80,2,5851.069283,8.674379707
24,TP53R175H_MYC,80,2,5466.913318,8.606469443
48,TP53R175H_MYC,80,2,8069.141607,8.995802387
72,TP53R175H_MYC,80,2,7975.59733,8.984141825
96,TP53R175H_MYC,80,2,12173.8177,9.407042834
0,TP53R175H_MYC,80,3,7269.050462,8.891380952
24,TP53R175H_MYC,80,3,11213.00212,9.324829287
48,TP53R175H_MYC,80,3,11239.6166,9.327200013
72,TP53R175H_MYC,80,3,11635.31688,9.36180031
0,TP53R175H_MYC,80,3,6277.73681,8.744764814
96,TP53R175H_MYC,80,3,9962.035378,9.206536685
0,TP53R175H_MYC,80,4,6231.452104,8.737364667
24,TP53R175H_MYC,80,4,10894.06485,9.295973411
48,TP53R175H_MYC,80,4,11173.55918,9.321305479
72,TP53R175H_MYC,80,4,13199.70435,9.48794971
96,TP53R175H_MYC,80,4,12261.82445,9.414246011
16,TP53R175H_MYC,160,1,5755.381437,8.657890598
24,TP53R175H_MYC,160,1,7777.004513,8.958926519
48,TP53R175H_MYC,160,1,13784.77722,9.531320162
72,TP53R175H_MYC,160,1,11777.4427,9.373941345
96,TP53R175H_MYC,160,1,13022.36103,9.474423238
20,TP53R175H_MYC,160,2,5707.144988,8.649474175
24,TP53R175H_MYC,160,2,5258.395022,8.56758113
48,TP53R175H_MYC,160,2,7638.858988,8.941003524
72,TP53R175H_MYC,160,2,10057.31995,9.216056001
96,TP53R175H_MYC,160,2,16476.15458,9.709669438
0,TP53R175H_MYC,160,3,6644.458535,8.801538483
24,TP53R175H_MYC,160,3,10940.5663,9.300232839
48,TP53R175H_MYC,160,3,12080.99752,9.399389044
72,TP53R175H_MYC,160,3,13865.55464,9.53716296
0,TP53R175H_MYC,160,3,6184.78077,8.729846839
96,TP53R175H_MYC,160,3,12923.38013,9.466793363
0,TP53R175H_MYC,160,4,6269.327922,8.743424438
24,TP53R175H_MYC,160,4,10838.31519,9.290842837
48,TP53R175H_MYC,160,4,12219.37626,9.410778189
72,TP53R175H_MYC,160,4,17078.96436,9.745602831
96,TP53R175H_MYC,160,4,15420.61196,9.643460333
16,TP53R175H_MYC,1000,1,7243.956577,8.887922825
24,TP53R175H_MYC,1000,1,7611.83494,8.937459544
48,TP53R175H_MYC,1000,1,17277.85361,9.757180822
72,TP53R175H_MYC,1000,1,16823.12334,9.730509608
96,TP53R175H_MYC,1000,1,16745.34847,9.725875795
20,TP53R175H_MYC,1000,2,5928.559885,8.68753661
24,TP53R175H_MYC,1000,2,5743.999499,8.655911023
48,TP53R175H_MYC,1000,2,9100.907823,9.116129448
72,TP53R175H_MYC,1000,2,13443.99198,9.506287592
96,TP53R175H_MYC,1000,2,21094.01838,9.95674479
0,TP53R175H_MYC,1000,3,6329.977403,8.753051945
24,TP53R175H_MYC,1000,3,12021.57586,9.394458303
48,TP53R175H_MYC,1000,3,13878.89704,9.538124767
72,TP53R175H_MYC,1000,3,17410.89734,9.764851573
0,TP53R175H_MYC,1000,3,6285.087329,8.745935016
96,TP53R175H_MYC,1000,3,14397.85887,9.574834785
0,TP53R175H_MYC,1000,4,6225.879756,8.736470038
24,TP53R175H_MYC,1000,4,11807.75919,9.376512153
48,TP53R175H_MYC,1000,4,14657.66632,9.592718776
72,TP53R175H_MYC,1000,4,23571.82063,10.06780724
96,TP53R175H_MYC,1000,4,20250.08529,9.915914284
16,MYC,0,1,5102.46442,8.537478922
24,MYC,0,1,6532.334799,8.784519708
48,MYC,0,1,6866.659086,8.834432962
72,MYC,0,1,6881.53829,8.836597495
96,MYC,0,1,6864.059596,8.834054323
20,MYC,0,2,7364.903857,8.904481275
24,MYC,0,2,7016.073219,8.85595897
48,MYC,0,2,9109.486992,9.117071676
72,MYC,0,2,9816.654227,9.191835633
96,MYC,0,2,15553.40618,9.65203494
0,MYC,0,3,6960.665039,8.8480303
24,MYC,0,3,10093.94359,9.219690878
48,MYC,0,3,10099.87573,9.220278399
72,MYC,0,3,9734.483051,9.183429814
0,MYC,0,3,6486.819357,8.777527606
96,MYC,0,3,8189.494434,9.010607445
0,MYC,0,4,6514.520893,8.781788948
24,MYC,0,4,10413.45497,9.250853997
48,MYC,0,4,10923.57318,9.29867841
72,MYC,0,4,13449.80767,9.506720085
96,MYC,0,4,12213.18274,9.4102712
20,MYC,80,2,6632.153714,8.799684874
24,MYC,80,2,6775.877014,8.821124086
48,MYC,80,2,8582.457185,9.057475537
72,MYC,80,2,9045.483519,9.110020853
96,MYC,80,2,14099.34864,9.553883879
0,MYC,80,3,6949.191694,8.846380629
24,MYC,80,3,9464.264744,9.155278379
48,MYC,80,3,9333.468429,9.141361975
72,MYC,80,3,8505.904011,9.048515791
0,MYC,80,3,6433.542815,8.769280648
96,MYC,80,3,7735.243495,8.953542242
0,MYC,80,4,6705.648793,8.810705554
24,MYC,80,4,10401.57092,9.249712124
48,MYC,80,4,10834.20953,9.290463956
72,MYC,80,4,12959.65648,9.469596463
96,MYC,80,4,12684.38441,9.448126942
20,MYC,160,2,7147.418705,8.87450655
24,MYC,160,2,6638.088248,8.800579287
48,MYC,160,2,8631.044884,9.063120853
72,MYC,160,2,8793.565166,9.081775502
96,MYC,160,2,15031.13847,9.617879227
0,MYC,160,3,6804.72783,8.825372919
24,MYC,160,3,9882.913928,9.198562679
48,MYC,160,3,9822.672612,9.192448524
72,MYC,160,3,8735.927944,9.07519945
0,MYC,160,3,6159.178474,8.725698683
96,MYC,160,3,7942.64054,8.980001061
0,MYC,160,4,6794.746957,8.823905086
24,MYC,160,4,10885.97425,9.295230473
48,MYC,160,4,11318.41972,9.334186742
72,MYC,160,4,13210.30491,9.488752479
96,MYC,160,4,12515.97807,9.434761353
16,MYC,1000,1,4532.784018,8.419091603
24,MYC,1000,1,5740.233113,8.6552551
48,MYC,1000,1,6152.397413,8.724597108
72,MYC,1000,1,6012.80597,8.701646802
96,MYC,1000,1,5863.948081,8.67657839
20,MYC,1000,2,7417.343726,8.911576284
24,MYC,1000,2,5962.485017,8.693242622
48,MYC,1000,2,8330.84532,9.027720209
72,MYC,1000,2,10720.60864,9.279923209
96,MYC,1000,2,18214.36011,9.809965579
0,MYC,1000,3,6656.414274,8.803336221
24,MYC,1000,3,9363.572832,9.14458221
48,MYC,1000,3,9658.275123,9.175570353
72,MYC,1000,3,10599.44789,9.268557193
0,MYC,1000,3,6249.698682,8.740288531
96,MYC,1000,3,10108.56129,9.221137997
0,MYC,1000,4,7253.50373,8.889239904
24,MYC,1000,4,10591.75998,9.267831618
48,MYC,1000,4,11722.07296,9.369228921
72,MYC,1000,4,15431.2643,9.64415088
96,MYC,1000,4,15239.01819,9.631614404
16,EV,0,1,5461.217292,8.605426991
24,EV,0,1,7866.925419,8.970422594
48,EV,0,1,7583.289517,8.933702358
72,EV,0,1,7918.070268,8.976902802
96,EV,0,1,7303.85912,8.896158134
20,EV,0,2,7494.401222,8.921911517
24,EV,0,2,7774.461196,8.958599435
48,EV,0,2,9325.712077,9.140530604
72,EV,0,2,10313.26021,9.241185745
96,EV,0,2,15706.45126,9.661826815
0,EV,0,3,7585.462545,8.933988871
24,EV,0,3,,
48,EV,0,3,9801.29188,9.19026948
72,EV,0,3,9347.184182,9.14283042
0,EV,0,3,7735.797502,8.953613861
96,EV,0,3,7709.729907,8.950238434
0,EV,0,4,7274.607564,8.892145148
24,EV,0,4,11827.50446,9.378182984
48,EV,0,4,10985.97836,9.304375044
72,EV,0,4,14069.36461,9.55175499
96,EV,0,4,13191.84664,9.487354239
16,EV,1000,1,5110.03737,8.538961996
24,EV,1000,1,7285.031943,8.893577103
48,EV,1000,1,7347.365479,8.90209709
72,EV,1000,1,7345.621564,8.901859709
96,EV,1000,1,7760.300609,8.956776351
20,EV,1000,2,7732.774625,8.95322302
24,EV,1000,2,6235.733697,8.738051525
48,EV,1000,2,8384.594885,9.034151359
72,EV,1000,2,8271.660658,9.020590573
96,EV,1000,2,12193.30985,9.408642708
0,EV,1000,3,7099.269294,8.867747141
24,EV,1000,3,,
48,EV,1000,3,9067.110589,9.112408924
72,EV,1000,3,7690.859265,8.947787794
0,EV,1000,3,7125.839524,8.871482826
96,EV,1000,3,6860.148841,8.833484417
0,EV,1000,4,7596.040968,8.935382465
24,EV,1000,4,10973.5208,9.303240449
48,EV,1000,4,10589.25242,9.267594843
72,EV,1000,4,12270.71887,9.414971123
96,EV,1000,4,12255.91269,9.413763768
16,TP53R273H_MYC,0,1,3440.323771,8.143320865
24,TP53R273H_MYC,0,1,6951.666081,8.846736634
48,TP53R273H_MYC,0,1,6095.467556,8.71530075
72,TP53R273H_MYC,0,1,7438.822237,8.914467814
96,TP53R273H_MYC,0,1,7256.519666,8.889655608
20,TP53R273H_MYC,0,2,7186.739797,8.879992912
24,TP53R273H_MYC,0,2,6298.172557,8.7480148
48,TP53R273H_MYC,0,2,8969.428526,9.101577244
72,TP53R273H_MYC,0,2,9224.304699,9.129597095
96,TP53R273H_MYC,0,2,15280.53334,9.634334967
0,TP53R273H_MYC,0,3,7433.951308,8.913812801
24,TP53R273H_MYC,0,3,11072.42818,9.31221335
48,TP53R273H_MYC,0,3,10836.02717,9.290631711
72,TP53R273H_MYC,0,3,10268.59563,9.236845549
0,TP53R273H_MYC,0,3,6454.690556,8.772562364
96,TP53R273H_MYC,0,3,8845.97153,9.08771744
0,TP53R273H_MYC,0,4,5389.176635,8.592147894
24,TP53R273H_MYC,0,4,10013.50014,9.211689476
48,TP53R273H_MYC,0,4,10005.56814,9.210897031
72,TP53R273H_MYC,0,4,13114.68682,9.481488013
96,TP53R273H_MYC,0,4,11544.34967,9.35395139
16,TP53R273H_MYC,80,1,4310.486556,8.368806067
24,TP53R273H_MYC,80,1,6603.421446,8.795343195
48,TP53R273H_MYC,80,1,8548.425444,9.053502386
72,TP53R273H_MYC,80,1,7563.292742,8.931061922
96,TP53R273H_MYC,80,1,7660.090024,8.943779015
20,TP53R273H_MYC,80,2,5857.300765,8.675444156
24,TP53R273H_MYC,80,2,6362.158022,8.75812291
48,TP53R273H_MYC,80,2,8699.430836,9.071012881
72,TP53R273H_MYC,80,2,9541.845585,9.163442203
96,TP53R273H_MYC,80,2,15128.80636,9.624355911
0,TP53R273H_MYC,80,3,7446.758036,8.915534054
24,TP53R273H_MYC,80,3,10713.02092,9.279215189
48,TP53R273H_MYC,80,3,11739.64511,9.370726864
72,TP53R273H_MYC,80,3,11729.82221,9.369889785
0,TP53R273H_MYC,80,3,6778.400382,8.821496421
96,TP53R273H_MYC,80,3,10009.73483,9.211313381
0,TP53R273H_MYC,80,4,5353.764589,8.585555254
24,TP53R273H_MYC,80,4,9684.93637,9.178327006
48,TP53R273H_MYC,80,4,10540.00702,9.262933488
72,TP53R273H_MYC,80,4,13102.08067,9.480526327
96,TP53R273H_MYC,80,4,12240.83719,9.412532952
16,TP53R273H_MYC,160,1,6314.526467,8.750608047
24,TP53R273H_MYC,160,1,7819.115114,8.96432667
48,TP53R273H_MYC,160,1,9283.386814,9.135981718
72,TP53R273H_MYC,160,1,9800.991677,9.190238851
96,TP53R273H_MYC,160,1,10826.35482,9.289738701
20,TP53R273H_MYC,160,2,5763.319915,8.659268962
24,TP53R273H_MYC,160,2,5870.423748,8.677682099
48,TP53R273H_MYC,160,2,9076.833728,9.113480702
72,TP53R273H_MYC,160,2,10772.3752,9.284740284
96,TP53R273H_MYC,160,2,17823.32082,9.788263037
0,TP53R273H_MYC,160,3,7050.080376,8.860794297
24,TP53R273H_MYC,160,3,11216.42743,9.325134718
48,TP53R273H_MYC,160,3,13098.67394,9.480266278
72,TP53R273H_MYC,160,3,14740.68133,9.598366388
0,TP53R273H_MYC,160,3,6515.423121,8.781927433
96,TP53R273H_MYC,160,3,12234.75857,9.412036243
0,TP53R273H_MYC,160,4,5469.545203,8.606950748
24,TP53R273H_MYC,160,4,10152.64854,9.22548989
48,TP53R273H_MYC,160,4,11996.88237,9.392402092
72,TP53R273H_MYC,160,4,15916.00582,9.675080537
96,TP53R273H_MYC,160,4,14957.49906,9.612968062
16,TP53R273H_MYC,1000,1,6258.336197,8.741669646
24,TP53R273H_MYC,1000,1,7932.917382,8.978776139
48,TP53R273H_MYC,1000,1,10822.45322,9.289378257
72,TP53R273H_MYC,1000,1,12796.46306,9.456924088
96,TP53R273H_MYC,1000,1,13295.85446,9.495207571
20,TP53R273H_MYC,1000,2,5555.162849,8.622483017
24,TP53R273H_MYC,1000,2,6401.608366,8.764304545
48,TP53R273H_MYC,1000,2,9663.741218,9.176136142
72,TP53R273H_MYC,1000,2,12060.56442,9.39769627
96,TP53R273H_MYC,1000,2,17354.78473,9.761623524
0,TP53R273H_MYC,1000,3,7191.215426,8.88061548
24,TP53R273H_MYC,1000,3,11447.53402,9.345529616
48,TP53R273H_MYC,1000,3,15403.72128,9.642364401
72,TP53R273H_MYC,1000,3,16496.53161,9.710905433
0,TP53R273H_MYC,1000,3,6981.168297,8.85097156
96,TP53R273H_MYC,1000,3,11713.60379,9.368506162
0,TP53R273H_MYC,1000,4,5644.347247,8.638409836
24,TP53R273H_MYC,1000,4,10564.22003,9.265228101
48,TP53R273H_MYC,1000,4,14364.62254,9.572523694
72,TP53R273H_MYC,1000,4,21088.67337,9.956491368
96,TP53R273H_MYC,1000,4,17556.63985,9.773187496
